,SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,REPORT_DATE,DATE_TYPE_CODE,FISCAL_YEAR,START_DATE,STD_ITEM_CODE,STD_ITEM_NAME,AMOUNT
172,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004027002,每股基本盈利,0.6218
173,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004027003,每股摊薄盈利,0.5936
174,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004030997,其他全面收益其他项目,154680000.0
175,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004030999,其他全面收益,154680000.0
176,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004039999,全面收益总额,5940932000.0
177,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004040001,非控股权益应占全面收益总额,436285000.0
178,01378.HK,01378,中国宏桥,10174782,2018-12-31 00:00:00,001,12-31,2018-01-01 00:00:00,004040002,本公司拥有人应占全面收益总额,5504647000.0
179,01378.HK,01378,中国宏桥,10174782,2017-12-31 00:00:00,001,12-31,2017-01-01 00:00:00,004001001,营业额,97941916000.0
180,01378.HK,01378,中国宏桥,10174782,2017-12-31 00:00:00,001,12-31,2017-01-01 00:00:00,004001999,营运收入,97941916000.0
181,01378.HK,01378,中国宏桥,10174782,2017-12-31 00:00:00,001,12-31,2017-01-01 00:00:00,004005002,销售成本,81561674000.0
182,01378.HK,01378,中国宏桥,10174782,2017-12-31 00:00:00,001,12-31,2017-01-01 00:00:00,004007999,毛利,16380242000.0
183,01378.HK,01378,中国宏桥,10174782,2017-12-31 00:00:00,001,12-31,2017-01-01 00:00:00,004010001,其他收入,2497598000.0
184,01378.HK,01378,中国宏桥,10174782,2017-12-31 00:00:00,001,12-31,2017-01-01 00:00:00,004010003,销售及分销费用,270215000.0
